srcid,Q1,Q2,Q4,Q6a,Q6b,Q6c,Q6d,Q7a,Q7b,Q7c,Q7d,Q7e,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q8g,Q8h,Q10a,Q10b,Q10c,Q10d,Q11,Q11a,Q11b,Q12,Q14,Q15,Q16,Q17a,Q17b,Q17c,Q17d,Q17e,Q17f,Q18,Q19a,Q19b,Q19c,Q19d,Q19e,Q19f,Q19g,p_state,p_gender_sdc,p_age_group_sdc,p_education_sdc
904,'4','16','Centre-right','4','4','4','4','1','1','2','2','1','9.0','4.0','5.0','5.0','3.0','4.0','3.0','9.0','2','4','2','4','2.0',1.0,nan,'3.0','2.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','2','1.0','4.0','3.0'
1622,'4','11','-98','2','2','2','2','2','2','2','2','2','4.0','4.0','4.0','4.0','4.0','4.0','4.0','4.0','4','4','2','2','nan',nan,nan,'nan','nan','nan','2.0','2.0','2.0','-98.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','3.0','-98.0','3.0','3.0','2','2.0','3.0','3.0'
1734,'4','36','-99','4','4','1','1','4','1','4','4','2','6.0','3.0','5.0','1.0','6.0','3.0','1.0','7.0','2','2','2','5','2.0',1.0,nan,'2.0','2.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','2','1.0','4.0','3.0'
388,'4','13','Centre-left','3','3','3','3','1','1','1','1','1','5.0','5.0','5.0','1.0','5.0','1.0','1.0','5.0','4','4','4','2','3.0',2.0,nan,'1.0','4.0','1.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','2','2.0','4.0','3.0'
937,'4','1','Centre-left','2','3','3','3','2','2','2','2','2','5.0','5.0','3.0','2.0','6.0','3.0','2.0','5.0','4','4','4','2','2.0',1.0,nan,'3.0','3.0','2.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','2','2.0','4.0','2.0'
152,'2','1','Green','2','2','1','1','2','2','1','2','1','6.0','6.0','4.0','5.0','8.0','1.0','2.0','9.0','2','1','4','2','3.0',2.0,nan,'3.0','3.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','2','1.0','3.0','2.0'
1698,'4','17','-98','3','3','3','3','1','1','1','1','1','2.0','2.0','2.0','1.0','4.0','2.0','4.0','4.0','4','4','4','2','nan',nan,nan,'nan','nan','nan','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2','2.0','2.0','3.0'
126,'4','16','Other','2','1','2','1','2','1','2','1','1','3.0','4.0','3.0','3.0','6.0','4.0','6.0','8.0','4','4','4','1','1.0',nan,2.0,'4.0','1.0','1.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','2','1.0','4.0','1.0'
357,'2','16','-98','5','1','3','1','1','1','1','1','1','5.0','6.0','6.0','1.0','5.0','1.0','1.0','6.0','4','4','4','1','nan',nan,nan,'nan','nan','nan','3.0','3.0','2.0','4.0','4.0','4.0','3.0','2.0','2.0','2.0','2.0','3.0','2.0','3.0','3.0','2','2.0','1.0','1.0'
693,'4','1','-98','3','1','1','1','2','1','1','1','1','4.0','5.0','1.0','1.0','3.0','1.0','1.0','5.0','1','4','4','1','1.0',nan,2.0,'4.0','2.0','2.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','2','2.0','3.0','1.0'
1931,'2','34','Green','2','1','3','2','1','1','1','2','1','6.0','5.0','6.0','1.0','6.0','3.0','2.0','7.0','4','4','2','1','3.0',2.0,nan,'3.0','2.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','2','1.0','3.0','1.0'
416,'2','-98','-98','3','3','4','4','3','3','4','3','3','8.0','8.0','8.0','5.0','6.0','6.0','3.0','8.0','1','4','2','4','nan',nan,nan,'nan','nan','nan','2.0','2.0','2.0','2.0','1.0','1.0','1.0','-98.0','3.0','3.0','3.0','-98.0','4.0','4.0','3.0','2','1.0','3.0','3.0'
467,'4','16','Other','2','2','2','2','1','1','1','1','1','1.0','1.0','2.0','1.0','1.0','2.0','2.0','2.0','2','4','2','1','nan',nan,nan,'nan','nan','nan','1.0','1.0','2.0','2.0','1.0','3.0','1.0','1.0','1.0','1.0','3.0','2.0','2.0','3.0','3.0','2','1.0','4.0','1.0'
365,'4','19','Centre-right','3','2','2','5','2','2','2','2','1','3.0','1.0','1.0','2.0','1.0','1.0','4.0','2.0','4','4','4','2','3.0',2.0,nan,'1.0','3.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','2','1.0','3.0','1.0'
1917,'4','-98','Centre-right','4','4','2','2','1','1','1','1','1','7.0','7.0','7.0','5.0','8.0','6.0','6.0','9.0','1','2','2','2','3.0',1.0,nan,'2.0','3.0','2.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','2','2.0','4.0','1.0'
68,'4','36','Independent','5','2','1','2','2','2','1','2','1','7.0','5.0','5.0','7.0','5.0','4.0','1.0','8.0','1','4','5','4','2.0',1.0,nan,'3.0','3.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','2','2.0','4.0','1.0'
579,'2','16','Centre-left','2','2','2','2','2','2','3','2','2','7.0','7.0','4.0','4.0','5.0','7.0','4.0','8.0','4','4','4','2','nan',nan,nan,'nan','nan','nan','2.0','2.0','2.0','3.0','1.0','2.0','2.0','2.0','2.0','2.0','-98.0','3.0','3.0','2.0','3.0','2','2.0','4.0','1.0'
1962,'5','11','Green','2','2','3','2','1','1','1','1','1','6.0','5.0','1.0','1.0','8.0','2.0','1.0','10.0','1','4','2','1','nan',nan,nan,'nan','nan','nan','3.0','3.0','3.0','3.0','3.0','4.0','3.0','3.0','3.0','2.0','2.0','3.0','3.0','3.0','4.0','2','1.0','3.0','1.0'
1618,'4','16','Centre-right','3','2','4','4','2','1','4','3','2','6.0','4.0','6.0','3.0','4.0','6.0','3.0','8.0','4','4','4','1','3.0',2.0,nan,'2.0','3.0','1.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','2','1.0','4.0','3.0'
134,'2','11','Centre-left','5','4','3','5','2','1','2','2','1','8.0','9.0','5.0','3.0','7.0','4.0','3.0','9.0','2','4','4','2','2.0',1.0,nan,'2.0','3.0','2.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','2','1.0','2.0','1.0'
247,'2','17','Centre-right','5','5','4','4','1','1','2','1','1','8.0','5.0','8.0','1.0','2.0','10.0','2.0','6.0','5','5','5','1','nan',nan,nan,'nan','nan','nan','2.0','1.0','2.0','2.0','1.0','2.0','2.0','2.0','2.0','2.0','2.0','3.0','2.0','2.0','3.0','2','2.0','4.0','nan'
812,'2','36','Centre-right','4','4','3','3','1','1','1','2','2','7.0','5.0','4.0','1.0','4.0','1.0','1.0','7.0','4','4','4','1','2.0',2.0,nan,'2.0','2.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','2','2.0','4.0','3.0'
1159,'4','16','Green','3','4','3','1','3','3','3','4','2','7.0','6.0','4.0','3.0','8.0','4.0','5.0','10.0','2','4','4','4','nan',nan,nan,'nan','nan','nan','2.0','2.0','2.0','4.0','1.0','3.0','3.0','2.0','3.0','2.0','1.0','4.0','2.0','2.0','3.0','2','2.0','2.0','3.0'
2406,'2','11','Centre-left','1','1','3','2','1','1','2','3','1','2.0','2.0','1.0','1.0','5.0','1.0','1.0','5.0','4','4','5','1','3.0',2.0,nan,'3.0','1.0','1.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','2','2.0','2.0','1.0'
385,'2','1','Centre-left','3','4','3','3','1','1','2','3','1','9.0','9.0','2.0','1.0','6.0','2.0','1.0','9.0','1','4','4','1','3.0',2.0,nan,'1.0','2.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','2','1.0','4.0','3.0'
2440,'2','11','Centre-right','3','3','3','3','3','3','3','3','3','5.0','5.0','5.0','5.0','5.0','5.0','6.0','5.0','2','2','2','2','nan',nan,nan,'nan','nan','nan','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','2','1.0','1.0','3.0'
206,'2','11','Centre-left','1','2','2','3','1','1','2','2','2','8.0','7.0','6.0','4.0','8.0','6.0','5.0','9.0','5','4','2','4','nan',nan,nan,'nan','nan','nan','3.0','3.0','3.0','3.0','1.0','2.0','2.0','3.0','2.0','3.0','1.0','3.0','3.0','3.0','3.0','3','2.0','2.0','1.0'
1610,'2','1','Centre-left','1','1','5','1','1','2','1','1','1','4.0','5.0','1.0','1.0','5.0','1.0','1.0','7.0','4','5','2','1','2.0',2.0,nan,'2.0','1.0','2.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','1.0','1.0','3.0'
1940,'5','19','Centre-left','3','3','2','2','2','3','2','4','1','5.0','5.0','4.0','2.0','5.0','2.0','7.0','7.0','4','4','4','5','2.0',1.0,nan,'3.0','3.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','2.0','4.0','1.0'
1925,'2','1','Centre-left','3','3','4','2','3','1','3','2','2','7.0','7.0','5.0','2.0','6.0','4.0','3.0','6.0','2','4','2','4','nan',nan,nan,'nan','nan','nan','3.0','3.0','3.0','3.0','3.0','4.0','3.0','2.0','2.0','3.0','2.0','3.0','3.0','3.0','3.0','3','1.0','4.0','2.0'
1217,'4','4','Centre-left','2','2','2','2','2','2','2','1','1','3.0','3.0','3.0','2.0','3.0','3.0','3.0','5.0','2','2','2','4','nan',nan,nan,'nan','nan','nan','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','3.0','2.0','2.0','3.0','3','1.0','3.0','2.0'
1286,'5','13','Right-wing','1','1','1','1','1','1','1','1','1','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','5','5','5','1','1.0',nan,2.0,'4.0','1.0','1.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','1.0','4.0','2.0'
2284,'2','1','Centre-left','4','2','4','4','2','2','4','2','2','1.0','1.0','1.0','1.0','3.0','1.0','1.0','1.0','4','4','4','4','2.0',1.0,nan,'1.0','2.0','1.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','2.0','4.0','3.0'
1142,'2','17','No-party','4','2','3','3','3','2','3','3','2','9.0','9.0','1.0','1.0','8.0','8.0','9.0','10.0','2','4','5','5','2.0',2.0,nan,'1.0','2.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','1.0','4.0','2.0'
2482,'2','1','Centre-right','4','2','3','2','3','3','3','3','3','7.0','7.0','7.0','3.0','7.0','4.0','4.0','6.0','2','4','2','4','nan',nan,nan,'nan','nan','nan','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','3','2.0','2.0','2.0'
1523,'2','11','Centre-right','3','2','4','3','3','3','4','4','3','7.0','6.0','5.0','2.0','6.0','3.0','2.0','7.0','4','4','4','4','nan',nan,nan,'nan','nan','nan','3.0','3.0','3.0','4.0','3.0','3.0','3.0','2.0','2.0','3.0','2.0','4.0','3.0','2.0','4.0','3','2.0','2.0','3.0'
771,'4','-98','-98','3','4','4','4','2','2','2','2','2','5.0','4.0','4.0','4.0','4.0','6.0','6.0','6.0','2','4','4','2','3.0',2.0,nan,'2.0','4.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','2.0','3.0','3.0'
1627,'4','20','Green','4','2','2','2','1','2','1','3','1','2.0','3.0','1.0','1.0','5.0','1.0','1.0','3.0','2','2','4','2','3.0',1.0,nan,'3.0','3.0','2.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','2.0','3.0','1.0'
17,'2','20','Centre-right','2','2','3','2','2','2','2','3','2','6.0','7.0','7.0','2.0','8.0','6.0','5.0','7.0','5','5','5','5','2.0',2.0,nan,'2.0','3.0','2.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','1.0','3.0','1.0'
1987,'4','19','-98','2','2','2','2','2','1','2','2','1','1.0','2.0','1.0','2.0','3.0','2.0','1.0','3.0','1','1','2','1','3.0',2.0,nan,'2.0','2.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','2.0','3.0','2.0'
1212,'4','29','Centre-right','5','5','4','5','1','1','2','2','1','7.0','5.0','5.0','2.0','5.0','5.0','4.0','5.0','1','4','1','1','nan',nan,nan,'nan','nan','nan','1.0','2.0','2.0','2.0','1.0','1.0','1.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','3','1.0','4.0','2.0'
858,'4','13','Centre-right','4','4','4','3','3','3','3','2','2','8.0','3.0','5.0','1.0','2.0','6.0','1.0','9.0','2','2','2','4','2.0',1.0,nan,'3.0','3.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','1.0','4.0','1.0'
436,'4','16','Right-wing','1','1','1','1','2','2','2','2','2','3.0','3.0','5.0','1.0','2.0','1.0','1.0','3.0','2','2','2','1','nan',nan,nan,'nan','nan','nan','-98.0','2.0','2.0','3.0','2.0','3.0','3.0','1.0','1.0','1.0','1.0','3.0','3.0','2.0','2.0','3','1.0','3.0','2.0'
933,'2','34','Right-wing','4','3','4','4','4','3','4','4','3','9.0','8.0','9.0','3.0','8.0','8.0','3.0','10.0','5','5','5','1','nan',nan,nan,'nan','nan','nan','1.0','1.0','4.0','2.0','1.0','1.0','4.0','3.0','3.0','3.0','3.0','2.0','3.0','3.0','4.0','3','1.0','4.0','1.0'
1348,'4','1','Centre-right','3','4','3','3','3','2','4','3','3','7.0','4.0','5.0','2.0','5.0','4.0','4.0','7.0','2','4','5','2','nan',nan,nan,'nan','nan','nan','-98.0','-98.0','3.0','3.0','-98.0','-98.0','-98.0','3.0','-98.0','-98.0','1.0','4.0','-98.0','3.0','4.0','3','2.0','4.0','3.0'
838,'2','11','Green','2','3','4','3','3','1','4','2','1','8.0','8.0','6.0','1.0','4.0','4.0','3.0','9.0','2','4','5','4','2.0',1.0,nan,'3.0','2.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','2.0','4.0','3.0'
1270,'4','1','Centre-right','4','3','4','3','1','2','1','1','1','4.0','5.0','9.0','1.0','5.0','9.0','1.0','5.0','2','4','4','2','nan',nan,nan,'nan','nan','nan','2.0','2.0','2.0','2.0','2.0','2.0','2.0','3.0','3.0','2.0','2.0','3.0','3.0','2.0','3.0','3','2.0','3.0','3.0'
1334,'4','32','Swing','4','2','2','3','2','2','2','3','1','3.0','3.0','3.0','2.0','5.0','2.0','3.0','6.0','4','4','4','2','2.0',2.0,nan,'3.0','4.0','2.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','1.0','4.0','2.0'
1267,'-98','-98','Centre-right','4','2','4','4','3','2','4','-98','-98','10.0','10.0','9.0','3.0','5.0','5.0','5.0','6.0','4','5','5','4','nan',nan,nan,'nan','nan','nan','2.0','2.0','2.0','2.0','1.0','-98.0','2.0','2.0','2.0','2.0','-98.0','-98.0','-98.0','-98.0','-98.0','3','2.0','4.0','nan'
1964,'2','19','Centre-right','2','4','2','5','1','1','1','1','1','6.0','5.0','8.0','1.0','4.0','1.0','1.0','9.0','4','4','4','2','nan',nan,nan,'nan','nan','nan','1.0','4.0','3.0','3.0','1.0','3.0','3.0','2.0','1.0','2.0','2.0','2.0','3.0','4.0','3.0','3','1.0','4.0','1.0'
2012,'1','29','-99','3','2','3','3','1','4','3','2','2','7.0','5.0','5.0','3.0','5.0','5.0','3.0','8.0','4','4','4','4','nan',nan,nan,'nan','nan','nan','-98.0','-98.0','-98.0','-98.0','2.0','-98.0','2.0','2.0','2.0','2.0','2.0','-98.0','2.0','2.0','-98.0','3','2.0','4.0','3.0'
972,'4','16','Centre-left','5','4','3','2','2','2','2','2','2','6.0','6.0','8.0','6.0','6.0','6.0','6.0','8.0','2','2','2','2','nan',nan,nan,'nan','nan','nan','2.0','2.0','3.0','3.0','2.0','3.0','3.0','2.0','3.0','3.0','1.0','3.0','3.0','2.0','4.0','3','2.0','3.0','1.0'
722,'2','-99','Centre-right','4','3','3','4','2','2','2','2','3','5.0','4.0','6.0','6.0','5.0','5.0','6.0','6.0','2','4','4','4','nan',nan,nan,'nan','nan','nan','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','3.0','3.0','3.0','3.0','2.0','3','2.0','2.0','3.0'
2109,'2','19','-98','4','2','2','2','2','2','2','3','2','4.0','2.0','4.0','4.0','7.0','2.0','3.0','7.0','2','4','4','2','nan',nan,nan,'nan','nan','nan','2.0','2.0','3.0','3.0','2.0','3.0','2.0','2.0','2.0','2.0','2.0','3.0','3.0','3.0','3.0','3','2.0','4.0','3.0'
414,'2','1','Centre-left','3','2','3','3','2','2','2','2','3','7.0','8.0','6.0','5.0','5.0','3.0','5.0','7.0','4','4','4','2','3.0',2.0,nan,'3.0','3.0','1.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','1.0','1.0','1.0'
480,'2','1','Other','4','3','3','5','1','2','2','2','2','5.0','5.0','5.0','5.0','5.0','5.0','5.0','5.0','2','2','2','2','3.0',1.0,nan,'2.0','2.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','1.0','2.0','3.0'
2369,'2','16','Centre-left','3','2','3','3','2','2','1','2','2','5.0','8.0','9.0','1.0','8.0','7.0','9.0','10.0','4','4','4','2','2.0',1.0,nan,'2.0','3.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','1.0','2.0','3.0'
1395,'2','16','Centre-left','4','4','3','2','3','2','4','3','3','6.0','6.0','6.0','5.0','5.0','3.0','3.0','7.0','2','4','2','2','2.0',2.0,nan,'2.0','3.0','1.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','2.0','2.0','2.0'
1396,'1','36','Right-wing','3','1','4','3','3','2','1','1','3','6.0','6.0','2.0','1.0','1.0','1.0','1.0','9.0','4','3','5','1','3.0',2.0,nan,'4.0','2.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','2.0','4.0','1.0'
622,'1','11','Green','3','3','5','4','1','3','1','3','1','8.0','8.0','6.0','6.0','9.0','7.0','7.0','9.0','2','4','4','2','2.0',1.0,nan,'2.0','3.0','2.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','2.0','3.0','1.0'
2280,'4','16','Centre-left','1','1','1','1','1','1','1','1','1','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','4','4','4','2','nan',nan,nan,'nan','nan','nan','2.0','-98.0','2.0','2.0','1.0','1.0','2.0','1.0','1.0','1.0','1.0','3.0','-98.0','1.0','-98.0','3','2.0','4.0','1.0'
412,'4','-98','Centre-right','5','3','3','5','1','1','1','2','1','5.0','5.0','2.0','1.0','5.0','5.0','3.0','5.0','5','5','5','2','2.0',1.0,nan,'2.0','3.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','2.0','3.0','1.0'
677,'2','13','Centre-right','4','5','3','3','1','1','2','2','1','5.0','3.0','5.0','3.0','5.0','2.0','2.0','5.0','4','4','4','2','nan',nan,nan,'nan','nan','nan','2.0','2.0','3.0','3.0','2.0','4.0','2.0','2.0','2.0','3.0','2.0','3.0','3.0','2.0','4.0','3','1.0','3.0','2.0'
1586,'2','20','Centre-right','2','3','4','4','2','1','4','3','4','5.0','4.0','3.0','3.0','7.0','5.0','6.0','6.0','4','4','2','4','2.0',1.0,nan,'2.0','3.0','2.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','2.0','2.0','3.0'
1077,'2','6','Centre-left','3','3','2','1','1','2','1','2','-98','5.0','5.0','3.0','1.0','9.0','3.0','5.0','5.0','2','4','2','5','nan',nan,nan,'nan','nan','nan','1.0','4.0','1.0','3.0','3.0','3.0','-98.0','2.0','1.0','3.0','2.0','3.0','2.0','3.0','3.0','3','2.0','4.0','3.0'
603,'2','13','-98','-98','-98','3','3','2','2','-98','2','2','8.0','7.0','9.0','5.0','5.0','8.0','5.0','5.0','2','2','3','4','2.0',-98.0,nan,'2.0','3.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','2.0','4.0','3.0'
1562,'4','6','Right-wing','2','2','3','4','2','2','2','2','2','6.0','6.0','1.0','1.0','7.0','7.0','8.0','10.0','2','4','2','1','-98.0',1.0,nan,'4.0','3.0','2.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','1.0','4.0','1.0'
533,'2','13','Centre-right','5','1','4','4','1','1','1','1','1','7.0','8.0','8.0','3.0','8.0','7.0','5.0','7.0','4','4','4','5','nan',nan,nan,'nan','nan','nan','1.0','3.0','3.0','2.0','1.0','3.0','3.0','1.0','4.0','2.0','1.0','3.0','3.0','3.0','4.0','3','2.0','3.0','3.0'
1675,'2','11','Centre-left','5','5','4','5','4','4','3','4','2','8.0','8.0','8.0','5.0','10.0','5.0','5.0','10.0','5','5','4','2','nan',nan,nan,'nan','nan','nan','2.0','2.0','2.0','3.0','2.0','3.0','2.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','4.0','3','2.0','1.0','1.0'
220,'4','16','Centre-left','2','3','4','2','1','1','2','2','2','4.0','5.0','1.0','1.0','4.0','1.0','1.0','7.0','4','4','4','2','2.0',2.0,nan,'2.0','3.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','1.0','4.0','3.0'
282,'2','16','Centre-right','3','2','3','2','2','3','3','4','3','7.0','7.0','8.0','6.0','8.0','7.0','6.0','8.0','2','4','2','2','nan',nan,nan,'nan','nan','nan','2.0','2.0','3.0','3.0','1.0','2.0','3.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','3','2.0','2.0','1.0'
240,'4','13','Centre-right','3','3','3','4','4','4','4','4','4','8.0','8.0','8.0','1.0','4.0','3.0','3.0','9.0','5','5','5','5','2.0',2.0,nan,'3.0','3.0','2.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','1.0','3.0','1.0'
1394,'2','33','Centre-right','3','3','4','3','2','2','3','1','2','8.0','8.0','7.0','4.0','8.0','7.0','8.0','9.0','2','4','5','2','nan',nan,nan,'nan','nan','nan','3.0','3.0','4.0','3.0','2.0','2.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3','2.0','4.0','1.0'
1071,'4','11','Centre-left','5','4','4','4','2','1','3','4','1','10.0','5.0','10.0','10.0','10.0','10.0','1.0','10.0','4','5','2','1','2.0',1.0,nan,'3.0','1.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','2.0','2.0','2.0'
19,'2','16','Centre-right','2','2','3','2','1','2','2','1','1','8.0','7.0','5.0','4.0','6.0','4.0','5.0','6.0','2','2','5','1','1.0',nan,2.0,'3.0','2.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','2.0','4.0','nan'
1482,'2','11','Centre-left','3','3','4','3','4','4','4','4','4','9.0','7.0','4.0','1.0','7.0','2.0','1.0','10.0','5','4','4','4','2.0',2.0,nan,'2.0','3.0','1.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','1.0','3.0','2.0'
829,'2','1','Centre-right','4','3','3','3','1','1','1','1','1','7.0','7.0','8.0','6.0','7.0','7.0','7.0','7.0','2','4','4','4','3.0',2.0,nan,'2.0','3.0','1.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','2.0','3.0','3.0'
355,'5','13','Independent','5','5','5','5','1','1','1','1','1','1.0','1.0','1.0','1.0','4.0','3.0','3.0','5.0','4','4','2','1','nan',nan,nan,'nan','nan','nan','3.0','3.0','3.0','4.0','3.0','3.0','3.0','3.0','3.0','3.0','2.0','3.0','3.0','2.0','1.0','3','1.0','3.0','1.0'
1073,'4','17','Other','1','1','1','1','1','1','1','3','2','1.0','5.0','5.0','1.0','3.0','1.0','3.0','5.0','5','5','5','1','2.0',2.0,nan,'3.0','3.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','1.0','3.0','2.0'
1111,'4','35','Centre-right','4','2','3','5','2','1','2','3','2','5.0','5.0','4.0','1.0','5.0','2.0','2.0','1.0','2','5','5','1','2.0',1.0,nan,'3.0','3.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','2.0','4.0','3.0'
2293,'4','16','Centre-left','2','2','2','1','1','1','1','1','1','2.0','2.0','1.0','1.0','3.0','1.0','1.0','4.0','2','5','5','2','3.0',2.0,nan,'1.0','4.0','1.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','2.0','3.0','1.0'
244,'2','6','-98','3','4','4','4','3','3','3','3','3','7.0','4.0','4.0','4.0','7.0','4.0','6.0','9.0','2','2','2','2','3.0',1.0,nan,'3.0','2.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','1.0','2.0','1.0'
928,'4','29','Centre-right','2','2','2','3','2','2','3','2','2','5.0','3.0','3.0','1.0','5.0','1.0','2.0','5.0','4','4','4','4','nan',nan,nan,'nan','nan','nan','1.0','1.0','3.0','3.0','1.0','3.0','1.0','-98.0','2.0','3.0','3.0','3.0','3.0','3.0','3.0','3','2.0','3.0','1.0'
691,'4','11','Centre-left','2','1','2','2','1','1','1','1','1','5.0','5.0','5.0','3.0','6.0','4.0','4.0','5.0','2','2','4','1','1.0',nan,2.0,'3.0','3.0','2.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','2.0','4.0','1.0'
162,'2','4','Centre-left','2','2','4','4','2','1','1','2','1','8.0','8.0','1.0','1.0','8.0','1.0','1.0','10.0','4','4','4','2','2.0',1.0,nan,'2.0','3.0','1.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','2.0','4.0','1.0'
2316,'1','1','Centre-right','3','5','3','4','3','2','3','3','3','5.0','3.0','4.0','1.0','6.0','2.0','4.0','6.0','4','1','4','2','2.0',2.0,nan,'3.0','3.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','3','1.0','3.0','2.0'
