srcid,Q1,Q2,Q4,Q6a,Q6b,Q6c,Q6d,Q7a,Q7b,Q7c,Q7d,Q7e,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q8g,Q8h,Q10a,Q10b,Q10c,Q10d,Q16,Q17a,Q17b,Q17c,Q17d,Q17e,Q17f,Q18,Q19a,Q19b,Q19c,Q19d,Q19e,Q19f,Q19g,p_state,p_gender_sdc,p_age_group_sdc,p_education_sdc
928,'4','29','Centre-right','2','2','2','3','2','2','3','2','2','5.0','3.0','3.0','1.0','5.0','1.0','2.0','5.0','4','4','4','4','1.0','1.0','3.0','3.0','1.0','3.0','1.0','-98.0','2.0','3.0','3.0','3.0','3.0','3.0','3.0','3','2.0','3.0','1.0'
20,'4','16','Green','3','3','4','1','1','1','1','2','2','5.0','5.0','5.0','4.0','8.0','5.0','3.0','9.0','5','4','5','1','2.0','2.0','2.0','2.0','2.0','2.0','2.0','3.0','3.0','3.0','3.0','3.0','3.0','4.0','3.0','3','2.0','4.0','3.0'
393,'4','16','Right-wing','5','1','4','3','1','1','3','2','1','8.0','2.0','1.0','1.0','1.0','1.0','1.0','5.0','5','5','5','1','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','3','1.0','2.0','2.0'
43,'2','37','Centre-left','1','1','3','2','2','2','2','3','1','5.0','4.0','3.0','3.0','5.0','3.0','6.0','4.0','2','4','2','2','3.0','3.0','3.0','3.0','2.0','3.0','3.0','2.0','2.0','2.0','2.0','3.0','2.0','2.0','3.0','3','2.0','1.0','1.0'
902,'4','13','Centre-right','1','1','1','1','1','1','1','1','1','3.0','3.0','1.0','1.0','3.0','1.0','1.0','3.0','2','1','1','1','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','3','1.0','2.0','1.0'
60,'4','13','Right-wing','2','3','2','2','1','1','2','1','1','5.0','5.0','3.0','1.0','3.0','1.0','1.0','8.0','2','2','2','1','2.0','2.0','3.0','3.0','2.0','2.0','2.0','3.0','4.0','3.0','1.0','3.0','3.0','3.0','3.0','3','2.0','3.0','1.0'
1536,'2','34','Centre-right','4','4','4','4','2','2','2','2','2','7.0','8.0','2.0','2.0','7.0','2.0','2.0','8.0','1','1','4','1','1.0','1.0','1.0','1.0','1.0','1.0','1.0','3.0','3.0','3.0','1.0','3.0','4.0','3.0','3.0','3','2.0','4.0','1.0'
1078,'1','19','Centre-right','4','5','4','5','3','1','3','3','2','9.0','8.0','8.0','5.0','8.0','7.0','7.0','9.0','4','4','4','4','3.0','-98.0','4.0','4.0','3.0','3.0','3.0','4.0','4.0','3.0','3.0','3.0','3.0','3.0','3.0','3','2.0','4.0','3.0'
1932,'4','13','Right-wing','2','2','3','3','2','2','3','3','3','3.0','3.0','4.0','3.0','3.0','2.0','3.0','3.0','4','4','4','2','2.0','2.0','3.0','3.0','2.0','2.0','1.0','3.0','2.0','3.0','2.0','3.0','3.0','3.0','3.0','3','2.0','3.0','3.0'
1892,'2','16','Green','2','2','2','1','2','2','2','2','1','3.0','3.0','3.0','2.0','3.0','3.0','2.0','8.0','4','2','4','2','3.0','3.0','3.0','3.0','3.0','3.0','3.0','2.0','2.0','2.0','2.0','3.0','1.0','2.0','2.0','3','1.0','3.0','2.0'
38,'5','13','Centre-left','2','2','1','2','1','1','1','2','1','3.0','6.0','4.0','1.0','6.0','1.0','4.0','8.0','1','1','1','1','4.0','3.0','4.0','4.0','4.0','4.0','2.0','4.0','1.0','2.0','2.0','3.0','4.0','3.0','3.0','3','1.0','3.0','3.0'
852,'1','16','Centre-left','5','1','2','1','1','1','1','1','1','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','5','5','5','5','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','3','1.0','4.0','3.0'
670,'2','-98','Centre-right','2','2','2','2','2','2','2','2','3','3.0','2.0','8.0','5.0','7.0','8.0','8.0','7.0','4','2','2','2','2.0','3.0','3.0','3.0','2.0','2.0','2.0','2.0','2.0','3.0','3.0','2.0','2.0','4.0','3.0','3','1.0','2.0','2.0'
1285,'4','16','Independent','2','2','3','2','3','2','3','2','2','7.0','6.0','5.0','4.0','7.0','6.0','5.0','7.0','2','2','4','4','3.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','4.0','3','2.0','3.0','1.0'
1628,'5','4','Right-wing','1','3','3','1','2','1','2','3','3','5.0','5.0','7.0','5.0','5.0','5.0','4.0','5.0','2','2','2','2','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','3.0','3','1.0','2.0','2.0'
1374,'2','1','Centre-left','1','1','2','2','1','2','1','3','1','3.0','3.0','2.0','1.0','4.0','1.0','2.0','4.0','2','4','4','2','2.0','2.0','2.0','3.0','1.0','3.0','3.0','1.0','2.0','3.0','2.0','3.0','2.0','2.0','3.0','3','1.0','3.0','2.0'
958,'4','11','Green','4','2','2','2','2','1','3','4','3','5.0','5.0','5.0','3.0','9.0','3.0','6.0','9.0','1','2','4','2','-98.0','3.0','3.0','3.0','-98.0','-98.0','3.0','3.0','3.0','3.0','-98.0','3.0','-98.0','3.0','3.0','3','2.0','4.0','1.0'
1044,'2','1','-99','4','2','2','2','1','1','1','1','1','7.0','6.0','2.0','1.0','5.0','7.0','5.0','7.0','1','5','2','1','-98.0','3.0','2.0','3.0','3.0','4.0','2.0','-98.0','3.0','2.0','-98.0','3.0','3.0','-98.0','3.0','3','2.0','4.0','1.0'
1181,'2','-98','Centre-left','5','3','4','3','2','2','2','3','2','7.0','6.0','5.0','3.0','5.0','6.0','4.0','6.0','2','2','2','2','2.0','2.0','2.0','3.0','2.0','3.0','2.0','2.0','2.0','2.0','2.0','3.0','2.0','2.0','3.0','3','2.0','4.0','3.0'
826,'4','11','Green','3','1','1','5','2','2','1','3','2','3.0','6.0','5.0','4.0','6.0','3.0','6.0','8.0','2','4','4','4','2.0','2.0','3.0','3.0','2.0','3.0','3.0','2.0','3.0','3.0','2.0','3.0','3.0','2.0','3.0','3','1.0','3.0','2.0'
687,'2','13','Centre-right','3','2','3','2','1','1','2','2','2','5.0','4.0','7.0','1.0','6.0','2.0','2.0','7.0','5','5','4','2','2.0','2.0','2.0','2.0','3.0','3.0','2.0','3.0','3.0','2.0','3.0','2.0','3.0','3.0','4.0','3','2.0','3.0','2.0'
1349,'4','11','Centre-left','1','1','2','4','3','1','2','1','1','8.0','7.0','1.0','1.0','7.0','5.0','1.0','9.0','1','4','2','1','2.0','1.0','-98.0','1.0','1.0','3.0','1.0','3.0','3.0','4.0','3.0','2.0','4.0','4.0','2.0','1','2.0','4.0','1.0'
2499,'2','16','Centre-right','1','1','1','1','1','1','1','1','1','1.0','1.0','1.0','1.0','2.0','1.0','1.0','7.0','1','1','4','1','2.0','2.0','3.0','3.0','1.0','3.0','2.0','2.0','3.0','3.0','1.0','3.0','3.0','3.0','4.0','3','1.0','4.0','3.0'
1400,'2','11','Centre-left','1','1','1','1','1','2','1','1','1','3.0','1.0','1.0','1.0','5.0','1.0','3.0','6.0','2','2','4','1','4.0','4.0','4.0','4.0','4.0','4.0','4.0','1.0','4.0','1.0','1.0','3.0','1.0','1.0','1.0','3','1.0','4.0','1.0'
1036,'2','36','Centre-left','2','2','1','1','2','3','2','2','1','7.0','8.0','7.0','3.0','4.0','2.0','3.0','5.0','2','2','4','2','2.0','1.0','3.0','3.0','2.0','2.0','1.0','3.0','3.0','4.0','2.0','2.0','3.0','4.0','4.0','3','2.0','3.0','2.0'
995,'2','16','Centre-left','3','3','3','2','3','2','3','3','2','4.0','4.0','6.0','4.0','7.0','6.0','6.0','7.0','4','4','4','4','3.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','2.0','3','1.0','4.0','1.0'
345,'2','16','Centre-left','3','3','4','3','3','2','2','3','2','7.0','6.0','4.0','2.0','5.0','5.0','4.0','8.0','2','4','4','4','2.0','2.0','2.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','3','1.0','4.0','1.0'
2574,'2','16','Green','3','2','3','3','2','1','3','2','2','7.0','7.0','8.0','2.0','7.0','5.0','5.0','8.0','2','4','4','2','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','2.0','2.0','3.0','3.0','3.0','3.0','3','2.0','4.0','1.0'
232,'2','1','Centre-left','5','5','3','4','2','1','1','2','2','6.0','5.0','5.0','3.0','5.0','5.0','6.0','5.0','2','2','4','2','3.0','3.0','3.0','3.0','3.0','3.0','3.0','2.0','2.0','2.0','2.0','3.0','2.0','2.0','3.0','3','2.0','3.0','3.0'
419,'2','-99','Centre-right','2','3','2','3','1','2','2','2','2','6.0','6.0','3.0','2.0','5.0','3.0','3.0','7.0','4','5','4','2','2.0','2.0','2.0','3.0','1.0','2.0','2.0','2.0','2.0','2.0','2.0','3.0','3.0','2.0','3.0','3','2.0','4.0','3.0'
760,'4','11','Green','1','1','2','2','1','1','1','2','1','2.0','2.0','1.0','1.0','5.0','1.0','1.0','4.0','2','4','5','1','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','3.0','1.0','1.0','3.0','3','2.0','4.0','1.0'
1369,'2','2','Centre-left','2','1','3','3','3','3','4','3','3','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1','4','2','4','4.0','4.0','4.0','4.0','3.0','4.0','3.0','2.0','3.0','2.0','2.0','3.0','2.0','2.0','3.0','5','1.0','2.0','2.0'
765,'1','29','Centre-right','3','3','3','3','2','2','2','2','2','5.0','4.0','3.0','2.0','3.0','3.0','2.0','4.0','2','2','2','4','1.0','1.0','-99.0','-99.0','-99.0','-99.0','1.0','2.0','2.0','2.0','2.0','3.0','3.0','3.0','3.0','4','1.0','3.0','2.0'
22,'2','1','Centre-left','4','4','3','3','2','2','3','4','3','5.0','8.0','6.0','3.0','9.0','8.0','5.0','8.0','4','4','4','2','2.0','2.0','2.0','2.0','2.0','3.0','3.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','4','2.0','3.0','3.0'
983,'4','1','Right-wing','2','1','1','2','1','2','2','4','1','5.0','5.0','1.0','1.0','4.0','3.0','1.0','7.0','2','2','2','2','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','4.0','4.0','3.0','3.0','3.0','4.0','4.0','2','1.0','3.0','2.0'
1022,'4','1','Centre-left','4','2','2','2','2','3','3','3','1','8.0','7.0','8.0','2.0','5.0','4.0','5.0','8.0','2','4','4','5','2.0','2.0','2.0','2.0','1.0','2.0','2.0','3.0','2.0','3.0','1.0','3.0','2.0','4.0','2.0','4','2.0','4.0','3.0'
461,'4','13','Other','3','3','3','3','3','3','3','2','1','7.0','7.0','7.0','1.0','7.0','5.0','4.0','6.0','2','4','2','2','2.0','3.0','2.0','2.0','2.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','4.0','3.0','4','1.0','2.0','2.0'
997,'2','1','Centre-right','3','3','3','3','1','1','2','1','1','7.0','7.0','5.0','1.0','6.0','3.0','4.0','8.0','5','5','4','2','2.0','3.0','3.0','3.0','2.0','1.0','3.0','3.0','3.0','3.0','2.0','3.0','3.0','4.0','3.0','4','2.0','4.0','1.0'
1365,'4','11','Green','3','2','3','2','2','1','2','3','2','9.0','9.0','6.0','3.0','10.0','9.0','8.0','10.0','1','4','2','4','4.0','4.0','4.0','4.0','4.0','4.0','4.0','3.0','4.0','3.0','3.0','4.0','3.0','4.0','4.0','4','2.0','4.0','1.0'
1,'2','2','Centre-right','2','2','3','3','2','3','-98','1','2','6.0','6.0','6.0','2.0','7.0','2.0','1.0','8.0','4','4','5','-98','2.0','2.0','2.0','-98.0','2.0','-98.0','-98.0','1.0','2.0','2.0','1.0','3.0','2.0','2.0','3.0','4','2.0','4.0','1.0'
1222,'2','5','Centre-left','-98','-98','-98','-98','3','3','2','-98','2','5.0','5.0','5.0','2.0','2.0','2.0','2.0','5.0','2','-98','-98','1','-98.0','-98.0','-98.0','-98.0','-98.0','3.0','3.0','-98.0','-98.0','-98.0','-98.0','-98.0','-98.0','-98.0','-98.0','4','2.0','4.0','3.0'
628,'4','20','No-party','4','4','3','1','1','1','1','2','2','1.0','3.0','2.0','1.0','4.0','1.0','1.0','5.0','4','4','4','2','3.0','3.0','2.0','3.0','3.0','3.0','2.0','2.0','3.0','2.0','2.0','3.0','2.0','3.0','4.0','4','1.0','3.0','2.0'
1440,'2','1','-99','3','2','3','3','2','2','2','2','2','5.0','7.0','6.0','4.0','7.0','2.0','3.0','7.0','4','4','4','4','2.0','2.0','2.0','3.0','2.0','3.0','2.0','-99.0','2.0','2.0','2.0','3.0','3.0','3.0','3.0','4','2.0','2.0','3.0'
45,'2','16','Centre-right','4','2','4','3','3','2','2','3','2','7.0','7.0','6.0','1.0','5.0','4.0','1.0','9.0','2','5','2','2','3.0','3.0','2.0','3.0','2.0','3.0','3.0','3.0','3.0','2.0','2.0','3.0','3.0','2.0','3.0','4','2.0','3.0','1.0'
748,'2','11','Other','2','2','3','1','1','1','1','1','1','7.0','7.0','9.0','1.0','8.0','6.0','1.0','9.0','4','4','4','1','1.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','1.0','1.0','3.0','2.0','3.0','2.0','4','1.0','4.0','3.0'
439,'2','18','Centre-left','3','3','4','3','3','3','3','3','3','7.0','8.0','8.0','7.0','8.0','8.0','8.0','7.0','4','4','4','4','3.0','3.0','3.0','3.0','4.0','4.0','3.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','4','1.0','1.0','2.0'
1096,'2','1','Green','5','4','4','4','3','4','3','3','3','5.0','5.0','1.0','4.0','7.0','4.0','5.0','7.0','4','4','4','4','4.0','3.0','3.0','4.0','2.0','2.0','2.0','3.0','2.0','2.0','2.0','4.0','2.0','2.0','3.0','4','2.0','3.0','3.0'
524,'2','13','Centre-right','4','5','4','4','3','3','4','3','3','10.0','10.0','9.0','3.0','6.0','7.0','7.0','10.0','5','5','5','5','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','3.0','3.0','3.0','3.0','4','1.0','4.0','3.0'
1693,'4','6','Centre-right','1','1','2','2','1','1','1','2','2','5.0','5.0','3.0','3.0','5.0','5.0','5.0','5.0','2','4','4','4','2.0','2.0','3.0','3.0','2.0','2.0','3.0','2.0','2.0','3.0','2.0','3.0','3.0','3.0','3.0','4','2.0','3.0','1.0'
155,'2','1','No-party','3','3','3','3','2','2','2','2','2','5.0','5.0','3.0','5.0','5.0','4.0','5.0','8.0','4','4','4','2','3.0','3.0','3.0','3.0','3.0','3.0','3.0','4.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','4','1.0','4.0','2.0'
2270,'4','13','Centre-left','2','2','2','2','2','2','3','3','2','6.0','6.0','4.0','1.0','7.0','3.0','3.0','7.0','4','4','2','1','2.0','2.0','2.0','2.0','2.0','3.0','2.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','4','1.0','3.0','2.0'
754,'4','16','Green','2','1','2','1','2','1','2','3','2','3.0','2.0','2.0','2.0','5.0','3.0','4.0','6.0','1','4','4','1','1.0','1.0','1.0','1.0','1.0','3.0','1.0','1.0','1.0','1.0','1.0','3.0','1.0','2.0','2.0','4','1.0','4.0','3.0'
2550,'4','16','Green','3','2','3','1','1','1','3','4','3','2.0','3.0','4.0','1.0','5.0','2.0','3.0','6.0','2','2','2','1','3.0','3.0','3.0','4.0','3.0','3.0','4.0','3.0','3.0','2.0','1.0','4.0','3.0','3.0','3.0','4','1.0','2.0','2.0'
682,'2','1','-98','4','5','3','3','1','1','2','2','2','7.0','6.0','5.0','1.0','6.0','6.0','5.0','6.0','4','5','5','2','2.0','2.0','2.0','3.0','2.0','2.0','2.0','2.0','2.0','3.0','2.0','3.0','2.0','3.0','3.0','4','2.0','4.0','1.0'
1031,'2','11','Centre','2','2','2','1','2','1','1','2','2','3.0','3.0','2.0','1.0','2.0','1.0','1.0','5.0','4','4','4','1','3.0','3.0','3.0','3.0','-98.0','-98.0','-98.0','2.0','-98.0','2.0','1.0','3.0','2.0','2.0','2.0','4','2.0','4.0','1.0'
1030,'2','34','Centre-right','3','3','4','4','3','3','4','3','2','9.0','9.0','3.0','1.0','9.0','8.0','3.0','9.0','4','2','2','4','1.0','1.0','1.0','2.0','2.0','2.0','1.0','3.0','3.0','3.0','1.0','3.0','3.0','4.0','4.0','4','1.0','4.0','2.0'
680,'2','11','Centre-right','4','4','3','4','3','2','3','3','3','7.0','7.0','4.0','1.0','4.0','3.0','2.0','7.0','4','4','5','2','1.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','3.0','2.0','2.0','3.0','3.0','4','1.0','4.0','3.0'
925,'2','96','Centre-right','3','3','3','3','2','3','2','2','3','5.0','5.0','8.0','1.0','7.0','7.0','5.0','8.0','5','5','5','1','1.0','1.0','1.0','1.0','1.0','3.0','1.0','2.0','4.0','4.0','4.0','2.0','4.0','4.0','3.0','4','1.0','4.0','2.0'
2563,'2','34','Centre-right','4','4','3','4','1','1','3','2','3','5.0','6.0','1.0','1.0','5.0','4.0','1.0','5.0','2','5','1','1','1.0','2.0','2.0','2.0','1.0','1.0','1.0','2.0','3.0','1.0','1.0','3.0','4.0','4.0','1.0','4','1.0','4.0','3.0'
111,'4','11','Other','2','2','2','1','1','1','2','3','3','2.0','3.0','9.0','9.0','9.0','3.0','9.0','9.0','2','2','2','4','3.0','3.0','4.0','4.0','2.0','3.0','3.0','3.0','4.0','3.0','3.0','3.0','3.0','2.0','3.0','5','1.0','2.0','1.0'
330,'2','16','Centre-right','2','2','4','2','2','1','2','1','1','5.0','5.0','5.0','2.0','5.0','2.0','5.0','8.0','4','4','4','2','2.0','2.0','2.0','2.0','2.0','2.0','2.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','5','2.0','4.0','3.0'
903,'2','11','Green','4','4','4','4','3','3','4','3','2','9.0','9.0','5.0','1.0','9.0','4.0','1.0','9.0','5','4','5','2','1.0','1.0','3.0','3.0','2.0','2.0','3.0','3.0','3.0','3.0','1.0','3.0','3.0','3.0','3.0','5','2.0','2.0','1.0'
1936,'1','17','Centre-right','5','5','3','3','3','3','3','3','2','5.0','5.0','3.0','1.0','6.0','4.0','2.0','5.0','4','4','4','5','2.0','2.0','2.0','3.0','2.0','2.0','2.0','3.0','3.0','2.0','2.0','3.0','4.0','3.0','1.0','5','2.0','4.0','3.0'
518,'2','13','Centre-right','3','4','3','3','1','2','2','2','1','7.0','7.0','8.0','1.0','5.0','1.0','4.0','8.0','4','4','2','2','2.0','1.0','2.0','2.0','1.0','2.0','2.0','3.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','5','1.0','2.0','2.0'
2321,'4','14','Centre-right','4','4','3','3','2','2','3','3','2','9.0','8.0','8.0','3.0','4.0','7.0','3.0','8.0','1','2','2','2','2.0','2.0','3.0','3.0','1.0','1.0','2.0','3.0','3.0','3.0','1.0','3.0','4.0','4.0','3.0','5','2.0','4.0','2.0'
741,'2','1','Centre-left','2','2','1','2','1','1','1','2','1','4.0','4.0','5.0','1.0','4.0','1.0','1.0','6.0','1','1','2','1','3.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','5','1.0','3.0','2.0'
2513,'4','11','Green','3','1','1','1','1','1','1','2','1','5.0','5.0','5.0','1.0','5.0','1.0','1.0','8.0','2','5','4','1','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','5','2.0','3.0','3.0'
1361,'2','35','Centre-left','4','4','3','3','3','3','4','3','3','8.0','8.0','8.0','6.0','8.0','7.0','8.0','8.0','2','2','2','2','2.0','3.0','2.0','3.0','2.0','3.0','2.0','3.0','2.0','3.0','2.0','3.0','3.0','2.0','3.0','5','2.0','4.0','3.0'
702,'4','36','Right-wing','3','2','1','3','2','2','2','2','2','6.0','4.0','1.0','1.0','3.0','5.0','5.0','6.0','4','4','4','2','1.0','1.0','2.0','3.0','1.0','4.0','1.0','-98.0','2.0','4.0','2.0','2.0','3.0','4.0','3.0','5','1.0','3.0','3.0'
1359,'2','16','Centre-right','5','1','2','3','3','2','3','3','1','8.0','8.0','9.0','4.0','8.0','8.0','3.0','9.0','2','5','4','1','2.0','2.0','2.0','2.0','2.0','3.0','2.0','1.0','1.0','3.0','1.0','3.0','2.0','2.0','4.0','5','2.0','4.0','1.0'
1683,'4','1','Centre-left','5','5','5','5','1','1','1','1','1','8.0','8.0','7.0','7.0','7.0','5.0','5.0','5.0','1','1','1','2','4.0','4.0','4.0','2.0','4.0','4.0','4.0','2.0','1.0','4.0','2.0','4.0','4.0','1.0','4.0','5','1.0','3.0','3.0'
453,'5','11','Centre-left','5','4','4','3','2','1','2','3','1','8.0','8.0','9.0','3.0','8.0','5.0','6.0','10.0','1','1','4','2','4.0','4.0','3.0','4.0','4.0','4.0','4.0','4.0','4.0','3.0','3.0','4.0','2.0','3.0','4.0','5','1.0','3.0','1.0'
1332,'4','16','Centre-right','5','3','4','4','1','2','2','1','1','8.0','9.0','8.0','3.0','9.0','7.0','5.0','9.0','4','4','4','2','1.0','1.0','1.0','3.0','1.0','1.0','1.0','2.0','3.0','3.0','1.0','3.0','3.0','3.0','4.0','5','1.0','4.0','1.0'
567,'2','11','Centre-right','3','3','4','4','3','2','3','3','2','8.0','8.0','4.0','2.0','8.0','3.0','2.0','9.0','4','4','4','2','3.0','3.0','3.0','3.0','2.0','2.0','3.0','3.0','3.0','3.0','2.0','3.0','3.0','4.0','3.0','5','2.0','4.0','1.0'
1342,'2','30','Centre-left','3','3','4','4','3','3','3','4','2','7.0','8.0','5.0','2.0','7.0','4.0','2.0','8.0','4','4','4','2','3.0','3.0','3.0','3.0','3.0','3.0','3.0','2.0','3.0','3.0','2.0','3.0','2.0','2.0','3.0','5','2.0','4.0','3.0'
600,'4','16','Right-wing','1','1','1','1','1','1','1','1','1','1.0','5.0','6.0','1.0','1.0','8.0','6.0','10.0','2','4','5','1','4.0','4.0','4.0','4.0','4.0','4.0','4.0','1.0','1.0','1.0','1.0','4.0','1.0','2.0','4.0','5','1.0','4.0','2.0'
1145,'2','1','Green','3','2','1','2','1','1','1','1','1','3.0','3.0','1.0','1.0','3.0','1.0','1.0','3.0','4','4','4','4','3.0','3.0','3.0','3.0','3.0','3.0','3.0','2.0','3.0','2.0','2.0','4.0','3.0','4.0','1.0','5','2.0','3.0','2.0'
809,'2','32','Green','5','1','3','5','1','1','2','3','1','8.0','8.0','5.0','2.0','8.0','5.0','3.0','9.0','1','2','1','2','4.0','4.0','3.0','4.0','2.0','4.0','3.0','2.0','3.0','2.0','1.0','3.0','-98.0','3.0','3.0','5','1.0','3.0','2.0'
41,'2','13','Centre-left','4','4','4','4','2','2','1','2','2','3.0','6.0','3.0','3.0','5.0','5.0','2.0','5.0','2','4','4','2','3.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','2.0','3.0','2.0','3.0','3.0','2.0','3.0','5','1.0','2.0','1.0'
588,'1','36','Centre-right','5','5','5','2','2','1','4','2','1','5.0','8.0','8.0','1.0','4.0','1.0','1.0','5.0','5','5','5','1','1.0','1.0','1.0','4.0','1.0','3.0','3.0','2.0','3.0','2.0','1.0','2.0','1.0','4.0','3.0','5','2.0','4.0','3.0'
1802,'2','19','Green','3','2','3','2','2','1','3','3','2','6.0','5.0','8.0','1.0','8.0','5.0','1.0','9.0','2','2','4','4','2.0','3.0','3.0','4.0','2.0','3.0','3.0','3.0','3.0','2.0','2.0','3.0','3.0','3.0','3.0','5','1.0','4.0','1.0'
686,'4','19','Centre-left','2','2','2','2','2','2','3','3','2','5.0','4.0','4.0','1.0','6.0','3.0','2.0','5.0','2','2','4','4','2.0','2.0','2.0','3.0','3.0','3.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','3.0','5','1.0','4.0','1.0'
1221,'4','16','Centre-right','1','5','1','3','1','1','1','1','1','2.0','1.0','1.0','1.0','2.0','1.0','2.0','3.0','2','4','4','1','3.0','3.0','3.0','3.0','2.0','2.0','2.0','3.0','3.0','2.0','2.0','3.0','3.0','4.0','3.0','5','1.0','4.0','2.0'
1263,'2','17','Green','2','2','2','2','1','1','1','1','1','5.0','4.0','6.0','3.0','10.0','1.0','3.0','10.0','5','4','2','1','3.0','4.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','2.0','1.0','3.0','3.0','4.0','4.0','5','2.0','4.0','2.0'
1694,'2','19','Centre-left','2','2','3','3','2','2','3','3','1','7.0','7.0','7.0','5.0','8.0','6.0','6.0','9.0','5','5','4','4','3.0','3.0','4.0','3.0','4.0','3.0','3.0','2.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','5','1.0','4.0','3.0'
1120,'2','16','Centre-right','2','2','3','2','1','1','2','2','1','3.0','2.0','2.0','1.0','1.0','2.0','2.0','3.0','1','1','2','1','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','2.0','1.0','1.0','1.0','1.0','5','1.0','4.0','2.0'
1451,'4','1','Centre-right','5','4','3','4','4','3','4','4','3','7.0','6.0','6.0','2.0','6.0','3.0','5.0','7.0','2','4','5','2','1.0','1.0','1.0','3.0','1.0','3.0','1.0','4.0','3.0','3.0','2.0','3.0','4.0','4.0','4.0','5','2.0','3.0','1.0'
1268,'4','11','Other','4','3','4','4','1','1','3','3','1','8.0','7.0','8.0','5.0','8.0','5.0','5.0','8.0','2','4','4','1','3.0','3.0','3.0','3.0','4.0','4.0','4.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','4.0','5','2.0','2.0','3.0'
1434,'1','5','Centre-right','2','1','2','2','1','1','1','2','1','2.0','2.0','5.0','1.0','5.0','1.0','1.0','2.0','4','4','2','1','4.0','3.0','4.0','4.0','4.0','4.0','4.0','3.0','3.0','3.0','2.0','3.0','-98.0','3.0','4.0','5','1.0','4.0','2.0'
715,'2','1','Centre-left','5','5','4','5','1','1','1','3','1','5.0','6.0','3.0','1.0','9.0','5.0','3.0','9.0','4','5','4','4','4.0','4.0','-98.0','3.0','3.0','3.0','3.0','2.0','2.0','2.0','2.0','3.0','3.0','2.0','2.0','5','1.0','4.0','3.0'
1183,'5','13','Centre-right','4','5','1','1','1','2','2','1','1','1.0','1.0','2.0','1.0','1.0','1.0','1.0','1.0','5','5','5','5','1.0','1.0','1.0','3.0','1.0','-98.0','-98.0','-98.0','1.0','4.0','1.0','3.0','-98.0','1.0','4.0','5','2.0','4.0','3.0'
455,'2','36','Centre-right','3','2','2','3','2','2','2','2','2','2.0','2.0','4.0','1.0','2.0','1.0','1.0','3.0','5','5','5','5','1.0','1.0','1.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','3.0','3.0','2','1.0','4.0','2.0'
869,'2','13','Centre-right','4','5','5','4','1','1','2','1','1','9.0','9.0','5.0','4.0','7.0','8.0','4.0','9.0','2','4','5','1','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','3.0','2.0','3.0','3.0','3.0','3.0','1','2.0','4.0','2.0'
1446,'4','11','Centre-left','3','2','2','1','2','2','2','3','2','2.0','3.0','2.0','1.0','5.0','2.0','3.0','3.0','2','2','4','4','1.0','2.0','3.0','3.0','1.0','3.0','3.0','3.0','3.0','3.0','1.0','3.0','3.0','2.0','4.0','3','2.0','3.0','3.0'
