srcid,Q1,Q2,Q4,Q6a,Q6b,Q6c,Q6d,Q7a,Q7b,Q7c,Q7d,Q7e,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q8g,Q8h,Q10a,Q10b,Q10c,Q10d,Q16,Q17a,Q17b,Q17c,Q17d,Q17e,Q17f,Q18,Q19a,Q19b,Q19c,Q19d,Q19e,Q19f,Q19g,p_state,p_gender_sdc,p_age_group_sdc,p_education_sdc
1853,'4','16','Centre-left','3','2','3','2','2','2','3','2','2','6.0','6.0','3.0','1.0','6.0','3.0','5.0','7.0','2','5','4','4','2.0','2.0','2.0','3.0','2.0','2.0','2.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','2','2.0','4.0','3.0'
1885,'1','16','No-party','4','2','2','2','2','2','2','3','2','6.0','7.0','5.0','6.0','8.0','3.0','6.0','8.0','4','4','4','2','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','1','1.0','4.0','3.0'
930,'2','35','-99','3','3','3','2','2','2','2','2','3','4.0','3.0','4.0','1.0','4.0','2.0','3.0','5.0','4','4','4','2','2.0','2.0','3.0','2.0','2.0','2.0','1.0','2.0','2.0','3.0','3.0','2.0','3.0','3.0','3.0','3','1.0','3.0','2.0'
121,'5','13','Centre-left','3','1','1','1','1','2','1','1','1','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1','2','1','1','1.0','1.0','1.0','4.0','1.0','1.0','3.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','4.0','3','1.0','1.0','3.0'
1671,'2','1','Centre-right','2','3','5','2','3','2','3','1','1','8.0','5.0','3.0','9.0','5.0','5.0','5.0','5.0','2','4','4','1','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','3.0','2.0','3.0','3','1.0','3.0','3.0'
54,'2','8','Centre-right','4','5','4','5','1','1','3','2','3','7.0','7.0','1.0','1.0','10.0','1.0','1.0','10.0','1','4','2','1','2.0','3.0','2.0','2.0','2.0','2.0','3.0','3.0','3.0','4.0','2.0','3.0','3.0','3.0','3.0','4','2.0','3.0','3.0'
379,'2','20','Green','3','3','4','4','3','1','3','3','2','7.0','8.0','5.0','3.0','7.0','5.0','5.0','9.0','2','2','5','1','2.0','1.0','3.0','3.0','1.0','3.0','2.0','4.0','4.0','3.0','3.0','4.0','3.0','3.0','3.0','3','1.0','3.0','3.0'
824,'4','16','Centre-left','3','3','3','5','1','1','1','1','1','7.0','6.0','7.0','7.0','6.0','7.0','5.0','5.0','1','1','1','1','3.0','3.0','2.0','3.0','3.0','3.0','3.0','2.0','2.0','3.0','2.0','3.0','3.0','3.0','2.0','2','1.0','2.0','1.0'
601,'2','17','Centre-right','2','2','4','4','3','2','4','3','3','9.0','9.0','4.0','1.0','7.0','1.0','2.0','9.0','2','2','4','1','1.0','1.0','2.0','3.0','1.0','1.0','2.0','3.0','4.0','4.0','1.0','3.0','4.0','4.0','4.0','3','2.0','3.0','2.0'
792,'1','16','Centre-right','2','3','4','3','4','3','4','4','3','8.0','8.0','7.0','2.0','6.0','6.0','6.0','9.0','5','5','4','2','1.0','1.0','2.0','2.0','1.0','4.0','1.0','3.0','3.0','3.0','3.0','3.0','4.0','3.0','3.0','3','1.0','3.0','1.0'
