srcid,Q1,Q2,Q4,Q6a,Q6b,Q6c,Q6d,Q7a,Q7b,Q7c,Q7d,Q7e,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q8g,Q8h,Q10a,Q10b,Q10c,Q10d,Q11,Q12,Q14,Q15,p_state,p_gender_sdc,p_age_group_sdc,p_education_sdc
195,'2','11','Centre-left','3','3','4','3','3','2','3','3','2','6.0','6.0','7.0','1.0','5.0','3.0','3.0','6.0','2','4','2','2','2.0','2.0','2.0','2.0','1','2.0','2.0','1.0'
325,'4','1','Centre-left','4','4','4','4','2','2','2','2','2','8.0','4.0','3.0','1.0','5.0','8.0','3.0','7.0','2','4','2','2','3.0','1.0','3.0','3.0','2','2.0','2.0','2.0'
2017,'5','96','No-party','1','1','1','3','4','4','4','4','4','1.0','1.0','1.0','1.0','1.0','1.0','1.0','1.0','5','5','5','5','2.0','1.0','3.0','3.0','3','2.0','2.0','3.0'
1926,'2','35','Centre-left','3','2','2','3','1','1','1','4','1','9.0','9.0','1.0','1.0','9.0','5.0','2.0','9.0','1','1','1','2','2.0','3.0','3.0','3.0','3','2.0','4.0','3.0'
901,'1','16','Green','2','3','2','3','2','3','3','2','3','5.0','3.0','2.0','5.0','7.0','3.0','7.0','8.0','5','5','2','2','3.0','2.0','3.0','3.0','3','2.0','2.0','3.0'
1109,'1','16','Centre-right','2','2','2','2','1','1','2','3','1','4.0','3.0','4.0','1.0','5.0','2.0','3.0','6.0','2','2','4','1','3.0','1.0','2.0','2.0','5','2.0','4.0','1.0'
793,'2','29','-98','3','3','5','4','1','1','2','1','1','9.0','9.0','4.0','1.0','5.0','3.0','2.0','8.0','1','2','1','2','3.0','2.0','3.0','3.0','5','1.0','4.0','1.0'
1537,'2','4','Centre-left','3','3','3','2','4','4','2','4','4','8.0','8.0','8.0','1.0','5.0','6.0','6.0','7.0','4','4','2','4','2.0','2.0','3.0','3.0','2','2.0','2.0','1.0'
1965,'2','-98','Centre-left','4','2','2','2','2','2','2','2','2','7.0','7.0','9.0','6.0','7.0','6.0','8.0','8.0','4','4','4','2','2.0','3.0','2.0','3.0','1','2.0','1.0','3.0'
777,'4','29','Centre-right','3','3','4','4','3','1','2','3','3','7.0','1.0','7.0','7.0','1.0','1.0','1.0','1.0','2','2','1','2','2.0','4.0','1.0','3.0','1','1.0','4.0','2.0'
1102,'2','17','Centre-right','2','2','3','3','2','3','2','2','2','5.0','5.0','5.0','3.0','5.0','3.0','5.0','7.0','2','4','2','2','2.0','2.0','3.0','3.0','1','1.0','3.0','2.0'
676,'2','1','Centre-right','2','2','1','2','2','2','2','3','1','6.0','6.0','8.0','4.0','5.0','4.0','4.0','7.0','4','2','4','4','2.0','1.0','3.0','1.0','3','2.0','2.0','3.0'
2555,'2','1','Centre-left','3','3','3','2','1','2','2','2','1','6.0','6.0','4.0','3.0','6.0','3.0','6.0','6.0','2','1','1','2','2.0','2.0','3.0','3.0','2','1.0','2.0','1.0'
1695,'4','13','Centre-right','2','2','3','2','1','1','1','1','1','6.0','6.0','5.0','4.0','3.0','5.0','2.0','6.0','4','4','4','1','2.0','1.0','2.0','1.0','1','2.0','3.0','1.0'
1817,'4','11','Green','2','3','3','3','3','3','3','4','3','7.0','7.0','7.0','3.0','8.0','5.0','5.0','9.0','5','5','5','4','3.0','2.0','3.0','3.0','1','1.0','2.0','1.0'
2021,'4','11','Green','2','2','2','3','2','2','1','2','1','4.0','4.0','4.0','2.0','4.0','2.0','2.0','5.0','4','4','4','4','2.0','3.0','3.0','3.0','1','1.0','3.0','1.0'
475,'1','1','Centre-left','4','2','4','4','2','2','2','2','2','2.0','5.0','5.0','5.0','6.0','5.0','6.0','5.0','4','4','2','2','3.0','2.0','4.0','2.0','6','2.0','2.0','1.0'
1090,'1','16','Centre-right','3','4','4','4','3','2','2','2','3','9.0','8.0','8.0','6.0','8.0','8.0','7.0','10.0','2','4','2','2','2.0','3.0','2.0','3.0','3','1.0','4.0','1.0'
2086,'2','4','Centre-left','2','1','2','2','1','1','1','2','1','1.0','1.0','1.0','1.0','7.0','1.0','1.0','5.0','2','4','4','2','3.0','1.0','2.0','2.0','2','1.0','3.0','2.0'
2543,'2','6','Centre-right','3','2','3','2','2','2','3','3','1','7.0','4.0','6.0','4.0','8.0','5.0','6.0','7.0','2','4','2','2','3.0','3.0','2.0','2.0','1','1.0','1.0','3.0'
2110,'2','17','Centre-right','5','2','5','4','2','2','2','1','1','8.0','7.0','8.0','5.0','5.0','5.0','2.0','8.0','2','5','2','4','1.0','3.0','2.0','3.0','2','2.0','3.0','2.0'
1094,'2','16','Centre-right','3','2','3','3','3','3','3','3','3','8.0','8.0','8.0','8.0','8.0','8.0','7.0','8.0','4','4','4','4','2.0','2.0','3.0','1.0','1','1.0','2.0','3.0'
940,'2','11','Centre-left','1','1','2','2','2','2','3','3','1','7.0','6.0','2.0','1.0','5.0','2.0','5.0','8.0','2','4','2','2','1.0','3.0','3.0','3.0','1','2.0','2.0','1.0'
1089,'2','1','Centre-right','3','4','2','3','1','1','3','2','2','5.0','5.0','1.0','1.0','1.0','1.0','1.0','8.0','3','3','4','2','2.0','2.0','3.0','3.0','1','1.0','3.0','3.0'
1726,'2','17','Centre-right','4','2','4','4','3','2','3','3','3','5.0','5.0','4.0','3.0','4.0','4.0','3.0','5.0','4','4','4','2','2.0','3.0','2.0','3.0','3','2.0','4.0','3.0'
914,'1','4','Centre-right','3','2','3','3','2','3','3','3','3','8.0','6.0','4.0','1.0','6.0','2.0','3.0','8.0','4','4','4','2','2.0','2.0','3.0','3.0','5','2.0','4.0','1.0'
1744,'2','1','Right-wing','5','5','5','5','2','1','1','1','1','10.0','9.0','10.0','9.0','8.0','7.0','5.0','8.0','4','4','5','2','2.0','3.0','2.0','3.0','3','2.0','2.0','3.0'
1498,'2','37','Green','3','3','3','3','3','3','3','3','3','5.0','5.0','6.0','5.0','5.0','5.0','5.0','5.0','4','4','4','4','2.0','1.0','1.0','2.0','2','2.0','2.0','1.0'
1209,'2','32','Centre-right','2','2','4','2','1','1','3','3','1','6.0','5.0','8.0','7.0','7.0','3.0','6.0','8.0','2','4','4','2','3.0','2.0','2.0','2.0','1','1.0','2.0','1.0'
