srcid,Q1,Q2,Q4,Q6a,Q6b,Q6c,Q6d,Q7a,Q7b,Q7c,Q7d,Q7e,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q8g,Q8h,Q10a,Q10b,Q10c,Q10d,Q11,Q12,Q14,Q15,p_state,p_gender_sdc,p_age_group_sdc,p_education_sdc
383,'4','16','Centre-left','5','5','4','5','2','2','2','2','1','7.0','8.0','3.0','2.0','7.0','3.0','4.0','7.0','4','4','4','2','2.0','3.0','2.0','1.0','8','1.0','3.0','1.0'
1484,'4','11','Green','1','1','1','1','1','1','1','2','1','3.0','3.0','2.0','1.0','8.0','1.0','8.0','8.0','2','2','2','1','2.0','3.0','2.0','3.0','1','2.0','4.0','2.0'
1098,'2','13','Centre-right','1','1','3','1','1','2','2','1','1','2.0','1.0','3.0','1.0','3.0','1.0','1.0','3.0','2','4','5','1','1.0','2.0','1.0','1.0','4','1.0','3.0','2.0'
1082,'2','16','Centre-left','3','3','4','4','3','3','2','4','3','6.0','7.0','7.0','1.0','7.0','1.0','2.0','9.0','4','4','4','4','2.0','2.0','3.0','3.0','1','1.0','3.0','2.0'
2540,'4','33','Centre-right','5','3','4','5','3','2','3','3','3','7.0','2.0','7.0','5.0','7.0','9.0','8.0','8.0','2','2','2','2','1.0','2.0','2.0','-98.0','3','1.0','2.0','2.0'
1624,'2','16','Centre-left','2','3','2','2','2','2','1','2','2','9.0','9.0','8.0','1.0','3.0','1.0','2.0','9.0','1','2','1','1','3.0','1.0','3.0','3.0','2','1.0','2.0','3.0'
1724,'2','1','Centre-left','3','2','2','2','2','2','2','2','2','7.0','7.0','5.0','2.0','7.0','3.0','3.0','6.0','1','2','4','2','3.0','2.0','3.0','3.0','2','2.0','1.0','1.0'
1704,'4','34','Centre-right','1','1','2','2','1','2','1','1','1','5.0','5.0','5.0','1.0','2.0','4.0','4.0','5.0','2','4','2','2','3.0','1.0','2.0','3.0','1','1.0','3.0','2.0'
1196,'4','36','Centre-left','2','2','2','1','2','3','2','3','1','5.0','5.0','2.0','1.0','4.0','1.0','1.0','4.0','4','4','2','4','1.0','2.0','3.0','1.0','2','1.0','2.0','2.0'
175,'2','13','Centre-right','5','5','5','5','1','1','1','1','1','8.0','7.0','1.0','1.0','6.0','1.0','1.0','10.0','1','4','1','2','2.0','3.0','1.0','3.0','2','1.0','2.0','2.0'
1756,'2','20','-98','4','4','3','3','2','2','2','3','3','6.0','6.0','3.0','3.0','8.0','3.0','3.0','10.0','5','5','5','4','2.0','3.0','3.0','3.0','2','2.0','2.0','1.0'
1582,'2','19','Centre-right','3','2','2','2','2','2','2','2','1','7.0','7.0','6.0','3.0','5.0','7.0','4.0','8.0','1','1','1','1','2.0','1.0','3.0','1.0','3','1.0','1.0','3.0'
399,'2','1','Centre-right','3','2','2','2','3','3','3','3','2','5.0','4.0','4.0','2.0','3.0','4.0','5.0','4.0','4','5','4','4','2.0','2.0','3.0','1.0','4','2.0','3.0','3.0'
1845,'4','11','Green','2','3','3','3','3','3','3','4','3','5.0','5.0','6.0','4.0','6.0','5.0','6.0','6.0','2','2','2','2','1.0','2.0','3.0','2.0','3','1.0','1.0','1.0'
2191,'2','11','Independent','2','2','2','2','1','2','2','1','1','7.0','7.0','5.0','3.0','6.0','3.0','3.0','7.0','2','4','4','2','1.0','3.0','2.0','2.0','1','2.0','3.0','1.0'
1797,'2','13','Centre-right','4','5','5','3','2','1','3','3','1','9.0','9.0','7.0','2.0','8.0','4.0','4.0','9.0','4','2','2','2','3.0','2.0','2.0','3.0','3','1.0','2.0','1.0'
1215,'4','5','Green','3','4','3','3','2','2','2','2','2','3.0','4.0','3.0','1.0','4.0','1.0','3.0','3.0','4','4','4','2','3.0','1.0','4.0','3.0','2','2.0','3.0','3.0'
395,'4','16','Green','1','1','2','1','1','1','2','3','1','8.0','8.0','8.0','7.0','8.0','5.0','7.0','8.0','2','2','2','2','1.0','2.0','2.0','3.0','3','1.0','2.0','1.0'
1545,'4','11','Centre-left','3','3','2','2','2','2','3','3','3','5.0','5.0','3.0','2.0','5.0','3.0','2.0','5.0','1','2','1','1','2.0','2.0','3.0','2.0','2','2.0','3.0','1.0'
1565,'2','1','Centre-right','1','2','3','2','1','1','3','1','1','6.0','6.0','4.0','3.0','6.0','5.0','4.0','6.0','1','2','1','4','1.0','3.0','2.0','3.0','4','1.0','3.0','3.0'
1576,'4','5','Centre-left','2','2','3','2','1','2','2','1','1','6.0','5.0','5.0','3.0','5.0','4.0','2.0','7.0','4','5','4','2','3.0','2.0','3.0','3.0','2','1.0','1.0','3.0'
477,'4','18','Centre-left','2','2','1','2','1','1','1','2','1','2.0','2.0','1.0','1.0','3.0','1.0','1.0','6.0','1','4','2','4','1.0','2.0','3.0','3.0','1','1.0','4.0','1.0'
1697,'2','34','Green','1','1','1','2','2','2','1','2','1','7.0','6.0','7.0','3.0','8.0','3.0','6.0','5.0','1','1','1','1','2.0','4.0','1.0','1.0','5','2.0','1.0','1.0'
1765,'2','32','Green','3','5','4','4','1','1','1','2','3','5.0','10.0','10.0','1.0','9.0','1.0','6.0','10.0','1','5','5','5','2.0','1.0','1.0','2.0','1','2.0','1.0','2.0'
2003,'2','13','Right-wing','4','4','4','4','1','1','2','2','2','6.0','8.0','8.0','3.0','5.0','4.0','4.0','7.0','4','4','2','4','2.0','2.0','2.0','2.0','5','1.0','3.0','2.0'
367,'2','20','Centre-left','2','1','1','1','1','1','1','1','1','5.0','5.0','2.0','1.0','5.0','2.0','1.0','5.0','2','5','5','1','1.0','2.0','4.0','2.0','5','2.0','2.0','1.0'
1731,'2','1','Centre-left','4','3','4','4','3','3','3','3','4','5.0','5.0','7.0','2.0','5.0','2.0','2.0','3.0','4','5','5','1','2.0','3.0','3.0','1.0','2','2.0','3.0','1.0'
1598,'4','11','Centre-left','4','3','2','2','2','2','3','3','1','5.0','4.0','7.0','1.0','5.0','3.0','3.0','8.0','2','4','4','1','2.0','3.0','4.0','3.0','1','1.0','4.0','1.0'
612,'2','11','Centre-left','3','2','4','2','2','2','4','3','2','5.0','6.0','7.0','2.0','6.0','4.0','6.0','6.0','5','4','4','2','2.0','2.0','3.0','3.0','2','2.0','1.0','3.0'
341,'2','1','Centre-right','3','4','4','4','3','3','3','3','3','5.0','2.0','3.0','2.0','5.0','3.0','3.0','6.0','4','4','4','2','3.0','2.0','3.0','3.0','3','1.0','2.0','1.0'
2179,'2','16','Centre-left','1','1','1','1','1','1','1','1','1','3.0','3.0','1.0','1.0','3.0','1.0','1.0','3.0','2','2','2','1','1.0','4.0','2.0','3.0','1','2.0','2.0','1.0'
132,'4','32','Centre-right','4','1','5','4','1','1','1','1','1','1.0','3.0','1.0','1.0','5.0','1.0','4.0','6.0','2','5','4','2','1.0','2.0','2.0','1.0','5','1.0','3.0','2.0'
346,'3','35','Green','3','2','3','2','1','2','2','2','2','7.0','7.0','8.0','6.0','8.0','7.0','7.0','8.0','2','2','4','4','3.0','3.0','2.0','3.0','2','2.0','2.0','1.0'
1465,'2','16','No-party','1','1','2','2','2','1','4','3','2','3.0','2.0','4.0','1.0','1.0','1.0','2.0','5.0','2','4','2','4','2.0','3.0','3.0','2.0','5','1.0','3.0','1.0'
512,'2','17','Centre-right','5','5','2','2','1','1','1','1','1','5.0','5.0','2.0','1.0','5.0','2.0','2.0','5.0','2','4','2','2','3.0','3.0','2.0','2.0','5','2.0','3.0','2.0'
719,'4','16','Centre-left','2','2','2','2','4','3','1','4','4','4.0','4.0','5.0','2.0','3.0','2.0','3.0','6.0','1','1','1','1','2.0','2.0','3.0','3.0','1','1.0','1.0','2.0'
570,'2','36','Centre-left','-98','-98','3','3','3','2','3','4','3','7.0','8.0','7.0','2.0','8.0','7.0','4.0','7.0','2','2','4','4','2.0','3.0','2.0','2.0','2','1.0','1.0','1.0'
2346,'2','1','Centre-left','5','5','5','1','1','1','4','3','1','2.0','5.0','8.0','3.0','7.0','3.0','5.0','3.0','5','1','2','1','2.0','4.0','1.0','1.0','3','2.0','3.0','2.0'
254,'4','11','Centre-left','5','2','3','5','1','1','1','1','1','4.0','4.0','1.0','1.0','4.0','4.0','5.0','10.0','1','2','4','1','2.0','2.0','3.0','3.0','3','2.0','4.0','1.0'
1906,'1','1','Centre-right','4','4','4','5','3','3','3','2','2','9.0','9.0','8.0','6.0','8.0','6.0','9.0','9.0','5','5','4','1','2.0','4.0','2.0','3.0','4','1.0','4.0','3.0'
2338,'4','11','Green','3','3','3','3','2','2','2','2','3','5.0','5.0','5.0','5.0','5.0','5.0','5.0','5.0','4','4','4','4','2.0','3.0','3.0','3.0','1','1.0','3.0','3.0'
699,'4','96','No-party','1','1','2','2','3','2','1','2','2','3.0','3.0','2.0','1.0','4.0','2.0','3.0','2.0','1','2','5','2','1.0','2.0','2.0','-98.0','4','1.0','3.0','3.0'
421,'4','11','Centre-left','3','3','4','4','2','2','3','3','3','8.0','8.0','8.0','1.0','8.0','5.0','1.0','9.0','5','5','5','4','2.0','2.0','2.0','1.0','3','1.0','2.0','1.0'
1905,'4','16','No-party','2','2','2','2','2','2','1','4','2','4.0','4.0','4.0','1.0','6.0','1.0','1.0','4.0','2','2','4','2','3.0','2.0','3.0','2.0','4','2.0','4.0','1.0'
2197,'4','1','Centre-left','1','3','1','1','4','3','2','4','4','3.0','1.0','1.0','1.0','4.0','1.0','1.0','4.0','4','4','4','4','2.0','2.0','1.0','3.0','2','1.0','2.0','1.0'
992,'2','4','Centre-left','2','5','2','5','1','1','1','2','1','3.0','3.0','3.0','1.0','5.0','2.0','1.0','5.0','1','2','4','2','2.0','1.0','3.0','2.0','1','2.0','2.0','2.0'
2514,'4','11','Green','3','3','3','3','3','3','3','3','2','8.0','8.0','8.0','2.0','9.0','5.0','5.0','8.0','4','4','5','4','2.0','3.0','2.0','-98.0','5','2.0','4.0','1.0'
248,'2','1','Centre-right','3','2','2','2','1','2','3','1','1','5.0','5.0','6.0','1.0','5.0','3.0','5.0','5.0','4','5','4','5','1.0','2.0','3.0','1.0','2','2.0','1.0','1.0'
1560,'4','11','Green','1','1','4','4','2','4','3','3','3','6.0','2.0','4.0','1.0','2.0','3.0','7.0','7.0','1','4','1','2','2.0','2.0','1.0','2.0','2','1.0','2.0','1.0'
276,'2','11','Green','2','3','3','3','2','2','3','3','2','5.0','6.0','4.0','2.0','6.0','5.0','4.0','7.0','2','4','4','2','2.0','2.0','2.0','3.0','2','1.0','2.0','1.0'
1337,'2','11','Centre-left','3','2','3','2','3','2','4','4','3','5.0','5.0','6.0','3.0','5.0','5.0','1.0','5.0','4','5','2','4','3.0','2.0','3.0','3.0','2','1.0','1.0','1.0'
887,'1','1','Centre-right','2','3','3','3','1','1','1','2','2','10.0','10.0','9.0','1.0','6.0','2.0','2.0','10.0','1','5','4','1','3.0','3.0','4.0','2.0','2','1.0','2.0','1.0'
764,'2','1','Centre-right','3','3','3','3','2','2','2','2','2','5.0','5.0','5.0','1.0','5.0','1.0','1.0','5.0','2','4','2','2','3.0','1.0','4.0','2.0','3','1.0','3.0','1.0'
1763,'2','30','Centre-left','3','3','3','3','1','2','1','2','1','5.0','8.0','6.0','5.0','7.0','5.0','6.0','8.0','4','5','2','4','2.0','2.0','3.0','3.0','2','2.0','1.0','2.0'
1785,'1','-98','Centre-right','3','3','3','3','3','2','3','3','3','6.0','6.0','5.0','4.0','6.0','5.0','4.0','6.0','5','5','5','5','2.0','1.0','4.0','2.0','5','2.0','2.0','1.0'
931,'4','16','Other','4','2','3','5','3','3','3','3','3','8.0','8.0','10.0','4.0','9.0','6.0','6.0','8.0','5','4','4','2','1.0','2.0','2.0','1.0','4','2.0','1.0','1.0'
136,'2','1','Centre-right','2','2','3','2','1','1','3','3','2','5.0','6.0','5.0','1.0','5.0','1.0','4.0','7.0','4','4','4','2','2.0','3.0','2.0','3.0','1','2.0','2.0','1.0'
1339,'5','36','Centre-left','3','2','1','2','3','3','2','3','3','5.0','5.0','5.0','5.0','6.0','5.0','5.0','7.0','4','5','5','5','2.0','2.0','3.0','3.0','1','1.0','2.0','3.0'
664,'2','16','Centre-left','1','1','1','1','1','2','1','1','1','1.0','5.0','1.0','1.0','6.0','1.0','5.0','5.0','2','2','2','1','1.0','4.0','1.0','1.0','5','1.0','2.0','2.0'
2133,'2','13','Right-wing','2','1','2','2','1','1','1','1','1','1.0','1.0','2.0','1.0','1.0','1.0','2.0','1.0','2','2','4','2','1.0','3.0','2.0','3.0','5','1.0','2.0','2.0'
967,'2','13','Centre-right','2','4','3','3','3','3','3','3','3','5.0','5.0','5.0','2.0','5.0','5.0','5.0','5.0','4','4','4','4','2.0','2.0','3.0','2.0','2','2.0','2.0','2.0'
546,'4','16','Centre-right','1','3','2','3','3','3','3','3','3','5.0','5.0','5.0','5.0','5.0','5.0','5.0','5.0','5','5','5','5','2.0','4.0','2.0','2.0','5','1.0','3.0','3.0'
2521,'1','17','Centre-right','3','2','3','3','1','1','2','3','1','5.0','8.0','5.0','5.0','10.0','5.0','3.0','9.0','2','2','4','2','1.0','3.0','2.0','3.0','5','2.0','4.0','1.0'
2150,'5','1','Green','1','1','1','1','1','1','1','1','1','1.0','1.0','1.0','1.0','1.0','1.0','1.0','4.0','4','4','4','2','3.0','3.0','3.0','2.0','1','2.0','2.0','1.0'
1364,'2','30','Centre-right','3','3','3','3','3','3','3','3','3','5.0','5.0','5.0','5.0','5.0','5.0','5.0','5.0','5','5','5','5','2.0','2.0','3.0','3.0','2','1.0','1.0','1.0'
2547,'2','11','Green','2','2','4','4','3','2','3','3','3','6.0','6.0','6.0','2.0','8.0','3.0','3.0','8.0','4','4','4','4','2.0','2.0','3.0','3.0','5','2.0','1.0','1.0'
696,'4','5','Green','1','1','1','1','1','1','1','2','1','1.0','3.0','6.0','1.0','6.0','2.0','5.0','1.0','2','5','2','2','2.0','3.0','2.0','3.0','2','2.0','2.0','1.0'
891,'2','13','Centre-right','2','2','1','2','1','1','2','2','1','2.0','2.0','1.0','1.0','2.0','1.0','2.0','3.0','4','4','2','4','1.0','2.0','2.0','-98.0','1','1.0','3.0','3.0'
1313,'4','11','Green','3','3','3','3','2','3','4','3','2','5.0','6.0','2.0','1.0','7.0','2.0','4.0','7.0','2','2','1','4','2.0','2.0','2.0','3.0','2','1.0','1.0','2.0'
991,'2','4','Centre-left','4','4','4','4','3','3','3','3','2','6.0','6.0','6.0','3.0','6.0','7.0','7.0','9.0','5','4','4','4','2.0','2.0','2.0','2.0','2','2.0','2.0','1.0'
554,'4','20','Green','2','1','2','2','1','2','1','3','1','4.0','5.0','7.0','6.0','10.0','6.0','9.0','10.0','2','4','4','5','1.0','3.0','1.0','1.0','1','2.0','2.0','1.0'
947,'4','11','Centre-left','3','3','4','3','1','2','2','1','1','9.0','9.0','4.0','5.0','7.0','4.0','4.0','9.0','4','4','4','2','2.0','2.0','3.0','2.0','1','1.0','3.0','2.0'
1824,'4','36','-98','3','1','1','2','1','1','1','1','1','6.0','6.0','2.0','1.0','3.0','2.0','2.0','5.0','4','4','4','2','3.0','1.0','4.0','1.0','3','2.0','4.0','3.0'
757,'4','13','Centre-left','2','1','2','2','3','2','2','1','1','3.0','3.0','4.0','1.0','5.0','1.0','1.0','8.0','5','4','5','1','1.0','4.0','1.0','3.0','1','1.0','1.0','3.0'
1758,'2','11','Green','3','3','3','2','2','2','2','2','2','6.0','7.0','5.0','4.0','4.0','4.0','7.0','5.0','2','2','2','2','1.0','3.0','2.0','2.0','3','2.0','1.0','1.0'
817,'2','5','Right-wing','-98','4','3','-98','3','3','4','2','2','7.0','7.0','7.0','3.0','7.0','4.0','4.0','7.0','2','4','4','2','1.0','3.0','3.0','2.0','4','2.0','3.0','2.0'
1389,'2','30','Centre-left','1','2','2','2','1','1','1','2','1','1.0','5.0','1.0','1.0','5.0','1.0','1.0','6.0','4','5','4','5','2.0','2.0','2.0','2.0','3','1.0','3.0','3.0'
1250,'2','11','Green','4','4','3','3','2','2','2','2','2','6.0','6.0','3.0','3.0','5.0','2.0','2.0','8.0','1','1','2','2','2.0','2.0','2.0','3.0','5','2.0','3.0','2.0'
1869,'4','16','Green','2','1','2','2','1','2','1','3','2','4.0','4.0','6.0','1.0','3.0','3.0','1.0','3.0','4','4','4','4','1.0','4.0','1.0','1.0','1','2.0','2.0','1.0'
1199,'2','37','Centre-left','2','3','4','4','3','2','2','2','2','9.0','7.0','9.0','5.0','8.0','8.0','8.0','7.0','5','5','5','5','1.0','1.0','2.0','3.0','6','2.0','2.0','1.0'
1456,'2','30','Centre-left','3','4','3','2','2','2','3','2','2','8.0','8.0','9.0','7.0','9.0','7.0','4.0','9.0','4','5','4','2','3.0','3.0','3.0','1.0','2','1.0','3.0','1.0'
264,'4','1','Centre-left','3','2','2','2','2','1','3','3','2','5.0','4.0','4.0','1.0','5.0','3.0','3.0','6.0','4','4','5','2','2.0','3.0','3.0','3.0','2','1.0','4.0','1.0'
811,'4','36','Centre-right','3','2','4','4','3','2','2','3','4','7.0','7.0','7.0','1.0','3.0','3.0','3.0','8.0','5','5','5','1','2.0','2.0','3.0','3.0','1','2.0','4.0','1.0'
692,'4','11','Centre-right','3','3','3','2','3','3','3','3','2','4.0','4.0','1.0','1.0','7.0','5.0','6.0','9.0','2','2','2','1','1.0','3.0','4.0','1.0','1','1.0','2.0','1.0'
1839,'2','96','Centre-right','3','2','3','4','3','3','3','2','3','8.0','8.0','8.0','8.0','8.0','8.0','8.0','8.0','4','2','4','2','3.0','3.0','2.0','2.0','1','1.0','4.0','3.0'
571,'1','16','Centre-left','2','2','2','1','3','2','2','3','1','6.0','6.0','3.0','1.0','7.0','1.0','1.0','7.0','4','4','2','1','3.0','1.0','2.0','3.0','1','2.0','3.0','1.0'
432,'2','32','Centre-right','2','2','3','2','2','2','2','3','2','6.0','8.0','9.0','3.0','5.0','5.0','4.0','5.0','2','2','4','2','2.0','3.0','2.0','2.0','2','1.0','3.0','3.0'
1408,'4','19','Centre-left','3','2','3','4','3','3','4','4','2','7.0','7.0','8.0','2.0','8.0','3.0','3.0','9.0','4','4','4','1','2.0','2.0','3.0','3.0','1','2.0','3.0','1.0'
2160,'4','19','Centre-right','2','3','2','2','2','3','2','2','3','5.0','3.0','7.0','1.0','7.0','2.0','1.0','7.0','4','5','5','2','2.0','2.0','2.0','3.0','3','1.0','4.0','2.0'
1297,'2','1','Centre-left','2','2','3','2','1','1','1','1','1','7.0','7.0','1.0','5.0','10.0','7.0','5.0','9.0','2','2','4','2','1.0','2.0','3.0','1.0','1','1.0','3.0','1.0'
999,'4','1','Centre-right','5','2','3','3','2','1','1','1','1','5.0','5.0','5.0','2.0','4.0','4.0','4.0','6.0','2','1','1','2','1.0','3.0','2.0','2.0','3','1.0','4.0','1.0'
1463,'4','16','Centre-right','2','2','2','2','2','2','2','4','2','5.0','7.0','4.0','3.0','7.0','4.0','3.0','8.0','4','4','4','4','2.0','2.0','3.0','2.0','2','1.0','2.0','3.0'
966,'4','1','Centre-left','4','4','4','4','2','2','2','2','2','5.0','5.0','5.0','2.0','5.0','5.0','2.0','5.0','4','4','3','3','2.0','2.0','3.0','3.0','3','2.0','4.0','3.0'
2583,'2','96','Centre-right','1','2','4','3','1','2','2','4','3','8.0','7.0','6.0','2.0','8.0','3.0','4.0','9.0','1','4','4','5','2.0','4.0','2.0','2.0','1','1.0','1.0','1.0'
868,'2','16','Centre-right','5','2','3','2','1','2','2','1','1','8.0','8.0','1.0','1.0','3.0','1.0','1.0','6.0','2','1','2','1','2.0','3.0','3.0','2.0','3','2.0','4.0','2.0'
1668,'2','11','Centre-left','3','3','4','3','3','3','3','4','3','7.0','8.0','6.0','5.0','9.0','6.0','4.0','9.0','1','4','2','4','2.0','2.0','2.0','2.0','2','1.0','3.0','1.0'
1685,'1','16','Centre-right','3','4','2','5','3','3','3','3','3','9.0','9.0','9.0','1.0','7.0','1.0','7.0','7.0','5','4','1','2','2.0','1.0','2.0','1.0','2','2.0','2.0','2.0'
631,'2','35','Green','3','2','3','2','2','2','2','2','2','5.0','5.0','5.0','3.0','5.0','4.0','6.0','7.0','4','4','4','2','1.0','2.0','2.0','3.0','5','2.0','2.0','1.0'
768,'2','4','Green','2','2','2','2','1','1','2','1','3','2.0','4.0','4.0','1.0','7.0','1.0','6.0','7.0','4','4','4','4','2.0','2.0','3.0','1.0','2','2.0','2.0','1.0'
1838,'4','16','Green','1','1','1','2','2','1','2','3','1','8.0','8.0','4.0','1.0','7.0','3.0','8.0','8.0','2','4','4','2','2.0','2.0','3.0','2.0','2','1.0','4.0','2.0'
956,'2','16','Centre-right','5','5','3','3','1','1','1','1','1','5.0','9.0','9.0','5.0','8.0','8.0','7.0','9.0','4','4','4','1','3.0','1.0','4.0','3.0','1','2.0','3.0','3.0'
2519,'2','16','Centre-right','4','3','3','3','1','1','1','2','1','7.0','7.0','5.0','3.0','7.0','4.0','5.0','7.0','1','2','2','2','2.0','2.0','3.0','3.0','1','2.0','3.0','1.0'
1141,'4','11','Centre-left','2','1','2','2','1','2','1','2','1','7.0','9.0','7.0','3.0','7.0','4.0','3.0','9.0','1','1','4','1','3.0','3.0','4.0','3.0','2','2.0','4.0','1.0'
307,'2','16','Centre-left','3','3','3','3','2','2','2','2','2','7.0','7.0','7.0','3.0','8.0','1.0','5.0','8.0','2','4','4','2','3.0','3.0','2.0','3.0','3','1.0','2.0','2.0'
1947,'2','11','Centre-left','4','4','4','4','4','3','4','4','4','9.0','9.0','7.0','5.0','9.0','7.0','7.0','9.0','1','3','2','4','2.0','4.0','1.0','3.0','4','1.0','3.0','1.0'
1437,'2','36','Centre-right','2','2','2','3','2','2','2','2','2','5.0','1.0','1.0','1.0','5.0','1.0','1.0','6.0','2','5','4','2','1.0','3.0','3.0','1.0','2','2.0','3.0','1.0'
184,'2','13','Centre-left','2','3','3','3','2','3','3','3','2','6.0','7.0','6.0','5.0','5.0','4.0','7.0','6.0','4','4','4','4','1.0','3.0','3.0','1.0','2','2.0','1.0','3.0'
214,'5','1','Centre-left','2','2','1','2','2','3','1','2','2','2.0','4.0','1.0','2.0','2.0','3.0','4.0','2.0','4','4','4','2','1.0','2.0','2.0','1.0','3','1.0','3.0','2.0'
2356,'2','20','Green','4','4','4','4','2','2','2','2','2','6.0','7.0','1.0','1.0','5.0','4.0','1.0','6.0','4','4','4','4','1.0','2.0','2.0','1.0','2','1.0','2.0','3.0'
2014,'1','13','Centre-left','2','1','1','2','1','1','1','1','1','2.0','4.0','5.0','1.0','2.0','1.0','1.0','2.0','4','4','4','1','2.0','1.0','2.0','1.0','4','2.0','3.0','1.0'
1445,'1','34','Centre-right','3','1','2','2','2','1','-98','2','1','7.0','7.0','7.0','3.0','5.0','5.0','3.0','9.0','4','4','4','4','1.0','2.0','-99.0','-99.0','3','1.0','3.0','1.0'
1009,'4','13','Centre-left','2','1','1','2','2','1','2','1','1','6.0','4.0','2.0','2.0','5.0','3.0','5.0','6.0','4','5','4','5','2.0','1.0','2.0','1.0','1','1.0','4.0','3.0'
539,'2','5','Centre-left','3','3','3','3','2','2','3','3','3','8.0','8.0','6.0','5.0','8.0','6.0','5.0','8.0','5','5','5','4','2.0','1.0','3.0','2.0','6','2.0','2.0','1.0'
915,'4','-98','-98','3','3','3','2','3','3','3','3','3','4.0','4.0','4.0','3.0','4.0','3.0','4.0','4.0','4','4','2','2','3.0','2.0','3.0','2.0','2','2.0','1.0','3.0'
1126,'4','1','Centre-left','3','2','2','2','3','2','2','3','2','7.0','7.0','4.0','3.0','7.0','4.0','4.0','8.0','2','2','2','2','2.0','2.0','3.0','2.0','1','1.0','3.0','2.0'
1017,'4','20','Centre-left','3','3','2','2','3','2','2','3','2','7.0','7.0','7.0','6.0','7.0','7.0','7.0','8.0','2','4','2','4','2.0','2.0','2.0','2.0','2','1.0','2.0','3.0'
446,'2','-98','Centre-right','3','3','3','3','2','3','3','3','3','4.0','3.0','6.0','3.0','6.0','3.0','3.0','6.0','4','4','4','4','2.0','1.0','3.0','3.0','5','2.0','1.0','1.0'
1351,'1','13','Centre-left','4','4','4','4','2','1','1','2','3','8.0','8.0','2.0','5.0','5.0','8.0','5.0','8.0','4','4','4','4','2.0','4.0','2.0','3.0','2','2.0','4.0','3.0'
1508,'2','16','Centre-right','3','3','2','2','1','1','3','2','3','8.0','6.0','4.0','2.0','3.0','3.0','1.0','8.0','2','4','1','2','2.0','3.0','2.0','3.0','3','1.0','3.0','2.0'
90,'2','1','Centre-right','1','1','2','2','2','2','3','1','1','3.0','3.0','2.0','1.0','2.0','1.0','1.0','3.0','4','4','2','2','2.0','3.0','3.0','3.0','5','1.0','3.0','1.0'
1027,'2','16','Centre-left','3','3','3','3','3','2','3','2','2','8.0','5.0','6.0','2.0','8.0','6.0','3.0','9.0','4','4','4','4','2.0','4.0','3.0','3.0','1','2.0','4.0','3.0'
2425,'2','11','Green','2','1','3','2','2','1','2','1','1','5.0','5.0','7.0','7.0','8.0','6.0','5.0','7.0','4','4','4','4','2.0','1.0','3.0','2.0','2','2.0','1.0','1.0'
594,'4','4','Centre-left','3','3','3','3','3','3','3','3','3','4.0','5.0','5.0','5.0','5.0','4.0','4.0','6.0','4','4','2','2','3.0','2.0','2.0','2.0','2','2.0','1.0','3.0'
164,'4','1','-98','5','5','4','4','1','1','2','1','1','1.0','5.0','7.0','1.0','5.0','2.0','5.0','7.0','1','2','5','2','3.0','2.0','3.0','2.0','3','2.0','4.0','3.0'
1144,'4','13','Centre-right','4','3','2','2','1','1','3','2','2','3.0','3.0','2.0','1.0','4.0','2.0','2.0','5.0','2','4','2','2','3.0','1.0','4.0','3.0','3','2.0','3.0','1.0'
1057,'1','13','Centre-right','4','2','4','4','3','3','3','3','3','8.0','7.0','9.0','6.0','7.0','9.0','9.0','9.0','4','5','4','2','2.0','3.0','3.0','3.0','3','1.0','4.0','2.0'
1239,'2','13','Right-wing','3','3','3','2','1','2','2','2','1','5.0','7.0','4.0','1.0','7.0','1.0','1.0','7.0','4','4','4','1','2.0','3.0','3.0','3.0','3','2.0','3.0','3.0'
491,'4','16','Centre-right','4','3','2','2','1','1','1','1','1','5.0','4.0','5.0','1.0','4.0','2.0','3.0','1.0','4','4','5','1','3.0','3.0','1.0','1.0','5','2.0','2.0','1.0'
1650,'4','1','Centre-right','2','3','3','3','3','2','2','2','2','7.0','7.0','8.0','1.0','9.0','4.0','4.0','8.0','2','4','2','4','2.0','3.0','3.0','3.0','5','1.0','3.0','1.0'
626,'2','1','Right-wing','2','3','3','3','1','3','2','3','3','5.0','5.0','2.0','3.0','10.0','1.0','5.0','10.0','5','5','5','2','3.0','2.0','2.0','3.0','3','1.0','2.0','1.0'
318,'2','1','Centre-right','1','2','2','4','3','3','3','4','4','5.0','5.0','7.0','6.0','9.0','7.0','7.0','9.0','2','4','1','1','2.0','3.0','1.0','3.0','2','2.0','1.0','1.0'
1952,'1','1','Centre-left','4','2','3','4','1','1','3','3','2','6.0','7.0','5.0','1.0','9.0','2.0','2.0','10.0','5','5','4','4','3.0','3.0','2.0','3.0','1','2.0','1.0','3.0'
1064,'2','16','Centre-right','2','5','2','1','1','1','1','1','1','4.0','5.0','4.0','1.0','8.0','4.0','5.0','4.0','2','1','1','5','2.0','2.0','4.0','1.0','4','2.0','4.0','1.0'
799,'4','11','Centre-left','2','1','1','1','1','1','1','1','1','3.0','3.0','1.0','1.0','8.0','1.0','1.0','9.0','1','4','1','2','2.0','2.0','1.0','3.0','1','2.0','4.0','1.0'
1532,'2','1','Centre-left','3','4','4','4','3','1','3','1','4','9.0','8.0','1.0','1.0','2.0','1.0','1.0','9.0','4','4','4','1','1.0','1.0','4.0','2.0','2','2.0','3.0','2.0'
